50 Cent
Sean Astin
Sean Bean
Sean Combs
Sean Connery
Sean Faris
Sean Harris
Sean Penn
Sean Pertwee
Sean Richard Budde
Sean Young
Seann William Scott
Sebastian Cabot
Sebastian Stan
Seiji Morita
Sela Ward
Selçuk Kundak
Selena Gomez
Selina Giles
Selma Blair
Serdar Ongoren
Serena Grandi
Serge de Poucques
Serge Merlin
Sergey Puskepalis
Serinda Swan
Seth Green
Seth MacFarlane
Seth Rogen
Shad Moss
Shah Rukh Khan
Shailene Woodley
Shakira
Shamus Culhane
Shane C. Rodrigo
Shane West
Shannon Freyer
Shannon Kook-Chun
Shannon Tweed
Shannon Welles
Shannon Whirry
Shao Bing
Sharlto Copley
Sharon Stone
Shauna M. Stevens
Shauna Macdonald
Shawn Ashmore
Shawn Broes
Shawn Roberts
Shawnee Smith
Shay Mitchell
Shelley Duvall
Shelley Winters
Shemar Moore
Shenbaga Kumar
Shepherd Frankel
Shia LaBeouf
Shinobu Araki
Shirley Henderson
Shirley MacLaine
Shmuel Levy
Shohreh Aghdashloo
Shu Qi
Shun Oguri
Sidney Lumet
Sidney Marshall
Sidse Babett Knudsen
Sienna Guillory
Sienna Miller
Sigourney Weaver
Simon Baker
Simon Helberg
Simon Kinberg
Simon McBurney
Simon Pegg
Simona Caparrini
Simone Signoret
Sinan Bengier
Sinan Karabuga
Sissy Spacek
Sivagorn Muttamara
Skandar Keynes
Skylar Astin
Skyler Gisondo
Slavisa Knezevic
Sofia Boutella
Sofia Carson
Sofía Vergara
Solène Rigot
Song Hye-Kyo
Song Jia
Sonoya Mizuno
Sonya Macari
Sophia Bush
Sophia Loren
Sophie Chatin
Sophie Marceau
Sophie Okonedo
Sophie Turner
Soraya Radford
Spencer Tracy
Spike Jonze
Stan Lee
Stana Katic
Stanley Kubrick
Stanley Tucci
Star Phyfe
Stefan Czyzewski
Stefan Dechant
Stefania Sandrelli
Stefanie Scott
Stefano Bambini
Stellan Skarsgård
Stephanie Hornish
Stephanie Szostak
Stephen Abrums
Stephen Amell
Stephen Campbell Moore
Stephen Chow
Stephen Dillane
Stephen Fry
Stephen J. Anderson
Stephen Lang
Stephen McFeely
Stephen McHattie
Stephen Merchant
Stephen Moyer
Stephen Paisley
Stephen Rea
Stephen Todt
Sterling Hayden
Sterling Holloway
Steve Austin
Steve Buscemi
Steve Carell
Steve Cassidy
Steve Coogan
Steve Guttenberg
Steve Karnes
Steve Martin
Steve McQueen
Steve Pang
Steve Zahn
Steven Berkoff
Steven Gomez
Steven Kastrissios
Steven Mackintosh
Steven Mnuchin
Steven Seagal
Steven Spielberg
Steven Waddington
Steve-O
Sting
Stockard Channing
Stu Richel
Stuart Beattie
Stuart Cohen
Stuart Mager
Stuart Townsend
Stuart Waks
Sullivan Stapleton
Su-nam Lee
Sung Kang
Suriyaphong Sripraphan
Susan Donym
Susan Ehrhart
Susan Hayward
Susan Hoffman
Susan Sarandon
Susanna Burney
Susanna David
Susumu Fujita
Suzanne Collins
Suzi Turnbull
Svetlana Khodchenkova
Sydney Gilmour
Sydney Pollack
Sylvester Stallone
Sylvia Kristel
Sylvia Wilczynski
Sylviane Goudal
T.J. Miller
Tadanobu Asano
Taiji Naka
Taissa Farmiga
Takamasa Ishihara
Takashi Miike
Takayuki Yamada
Takeshi Kitano
Takeshi Seki
Talia Shire
Talisa Soto
Tally Garner
Talulah Riley
Tamara Natalia Christina Mayawati Bleszy?ski
Tamara Taylor
Tambet Tuisk
Tammy Baer
Tammy Blanchard
Tamsin Dorling
Tamsin Egerton
Tan Sa?türk
Tandy Langton
Tanera Marshall
Tania Blunden
Tanit Phoenix
Tanner Johnson
Tanya Roberts
Tao Okamoto
Tara Moross
Tara Reid
Tara Strong
Taron Egerton
Tate Donovan
Tatiana Lepore
Tatiana Maslany
Taylor Hickson
Taylor Kitsch
Taylor Lautner
Taylor Vaughan
Tayman Tekin
Téa Leoni
Telly Savalas
Temuera Morrison
Terence Hill
Teresa Ann Savoy
Teresa Ngan
Teresa Palmer
Teri Hatcher
Teri Polo
Terrence Howard
Terry Calhoun
Terry Gene Bollea
Terry Gilliam
Terry Miller
Terry O'Quinn
Thandie Newton
Theo James
Thomas Blake Jr.
Thomas Brodie-Sangster
Thomas Craig Plumer
Thomas F. Wilson
Thomas Haden Church
Thomas Jane
Thomas Kretschmann
Thomas Lennon
Thomas Mann
Thomas McDonell
Thomas Mitchell
Thomas Newman
Thomas Tull
Thomas Vinterberg
Thora Birch
Thure Lindhardt
Tien Hsiang Lung
Tiffany Espensen
Tiger Kirchharz
Tika Sumpter
Til Schweiger
Tilda Swinton
Till Lindemann
Tilman Hahn
Tim Allen
Tim Blake Nelson
Tim Burton
Tim Curry
Tim Degraye
Tim Dixon
Tim Donelan
Tim Holt
Tim Maltby
Tim McInnerny
Tim Pilleri
Tim Robbins
Tim Roth
Timothy Dalton
Timothy Hutton
Timothy Olyphant
Timothy Spall
Tina Duong
Tina Fey
Tina Holmes
Tina Rath
Tina Turner
Tio Pakusodewo
Tippi Hedren
Tito Vuolo
Tiya Sircar
Tobey Maguire
Tobin Bell
Toby Francis-Bruce
Toby Jones
Toby Kebbell
Toby Stephens
Todd Sherry
Todd Thompson
Tolga Saritas
Tom Alley
Tom Arnold
Tom Berenger
Tom Cavanagh
Tom Cruise
Tom Ellis
Tom Felton
Tom Glass
Tom Hanks
Tom Hardy
Tom Hiddleston
Tom Holland
Tom Hollander
Tom Hulce
Tom Kenny
Tom Lawson Jr.
Tom Nonnon
Tom Noonan
Tom O'Sullivan
Tom Savini
Tom Selleck
Tom Sizemore
Tom Welling
Tom Wilkinson
Tom Wood
Tommy Cooper
Tommy Flanagan
Tommy Lane
Tommy Lee Jones
Tommy Lister
Tommy Tiernan
Toni Cantò
Toni Collette
Toni Handcock
Tony Clarke
Tony Curtis
Tony Goldwyn
Tony Jaa
Tony Leech
Tony Leung Chiu-Wai
Tony Shalhoub
Tony Todd
Tony Wilson
Topher Grace
Toshir? Mifune
Tracey Ullman
Tracey Walter
Travis Fimmel
Travis MacDonald
Treat Williams
Tress MacNeille
Trevor Howard
Trevor Larcom
Trig Singer
Trine Dyrholm
Troian Bellisario
Troy Hannett
Tu?çe Kazaz
Turan Seyfioglu
Ty Burrell
Ty Simpkins
Ty Thomson
Tyler Blackburn
Tyler Harrison
Tyler Hoechlin
Tyler Perry
Tyler Posey
Tyrese Gibson
Ulf Sturhann
Ulrich Mühe
Ulrich Thomsen
Ulrich Tukur
Uma Thurman
Ursula Andress
Val Kilmer
Valérie Binette
Valérie Kaprisky
Valérie Maës
Valerio Binasco
Valeriya Skorokhodova
Valeriya Zaklunnaya
Vallo Kirs
Vanessa Hudgens
Vanessa Kirby
Vanessa Marshall
Vanessa Redgrave
Vaughn Lucas
Venice Grant
Venus Kanani
Vera Farmiga
Vera Miles
Verna Felton
Veronica Cartwright
Veronica Collins
Veronica Ferres
Vicki Christianson
Vickie Creach
Vicky McClure
Victor Barrera
Victor Garber
Victor Mature
Vida Corona
Viggo Mortensen
Viju Krem
Vin Diesel
Vince McMahon
Vince Vaughn
Vincent Cassel
Vincent D'Onofrio
Vincent Gallo
Vincent Hogarth
Vincent Regan
Vincenzo Mastrantonio
Ving Rhames
Vinnie Jones
Vinny Curran
Viola Davis
Virág Sallai
Virginia Madsen
Virginia Reece
Virginie Efira
Vivica A. Fox
Vivien Leigh
Vladimir Vasiliev
Vural Çelik
W. Earl Brown
W.G. Foxley
Wallace Shawn
Walt Disney
Walter Baldwin
Walter Matthau
Walton Goggins
Wanda Sykes
Wayne Bickerstaff
Wayne Taylor
Wellesley Wild
Wendi McLendon-Covey
Wendy Crewson
Wendy Griffiths
Wentworth Miller
Werner Herzog
Wes Anderson
Wes Bentley
Wesley Snipes
Whoopi Goldberg
Wilford Brimley
Will Arnett
Will Ferrell
Will Forte
Will Patton
Will Poulter
Will Smith
Willem Dafoe
William Atherton
William B. Steakley
William Baldwin
William Duff-Griffin
William Fichtner
William Forsythe
William H. Macy
William H. Ziegler
William Hurt
William Lee Scott
William M. Connor
William Mapother
William Moseley
William Petersen
William Sadler
William Shatner
Willie Amakye
Willie Nelson
Winona Ryder
Winston May
Woody Allen
Woody Harrelson
Xander Berkeley
Xavier Dolan
Xavier Samuel
Y?ji Matsuda
Y?ko Tanaka
Yan Kuzmin
Yan Regis
Yann Biquand
Yaphet Kotto
Yasemin Tunca
Yasmine Aker
Yaya DaCosta
Yayaying Rhatha Phongam
Yijing Zhang
Yo La Tengo
Yoko Bambi
Yoko Nobushi
Yoo Se-hyeong
Yoon Je-moon
Yoon Seol-hee
Yota Argyropoulou
You Yong
Yuen Biao
Yuko Bambi
Yuliya Mayarchuk
Yunus Emre Sogukkanli
Yuri Arabov
Yurt?en Fidan
Yutaka Shimada
Yutaka Takenouchi
Yves Vincent
Yvonne Strahovski
Zaak Conway
Zac Efron
Zach Braff
Zach Galifianakis
Zach Martin
Zachary Levi
Zachary Quinto
Zack Snyder
Zak Schwartz
Zendaya
Zhang Ziyi
Zoë Bell
Zoe Kazan
Zoë Kravitz
Zoe Saldana
Zoey Deutch
Zolly Levin
Zooey Deschanel
Zsolt Büti
Zsolt Somogyi
