50 Cent
Cary-Hiroyuki Tagawa
Casey Affleck
Casper Van Dien
Cate Blanchett
Caterina Murino
Catherine Deneuve
Catherine Flynn
Catherine Keener
Catherine Mary Stewart
Catherine McCormack
Catherine O'Hara
Catherine Zeta-Jones
Cecile Vitan
Cedric the Entertainer
Celal Tak
Celestina
Celine Lockhart
Cem Y?lmaz
Cengiz Küçükayvaz
Chace Crawford
Chad Connell
Chad James Buchanan
Chad Lindberg
Chad Michael Murray
Chadwick Boseman
Chan Chiu
Chan Wai-Man
Chandler Canterbury
Chandler Riggs
Channing Tatum
Chan-wook Park
Charles Bronson
Charles Chaplin
Charles Dance
Charles Durning
Charles L. Campbell
Charles Martin Smith
Charles Napier
Charles S. Dutton
Charlie Adler
Charlie Cox
Charlie Day
Charlie Hunnam
Charlie Sheen
Charlie Tahan
Charlize Theron
Charlotte Alexandra
Charlotte Gainsbourg
Charlotte Le Bon
Charlotte Rampling
Charlton Heston
Cheech Marin
Chelsey Reist
Chemi Che-Mponda
Cheng Pei-Pei
Cher
Cheryl Kilbourne-Kimpton
Chet Hanks
Chevy Chase
Chi Le
Chin Han
Chingmy Yau
Chiwetel Ejiofor
Chloe Bennet
Chloë Grace Moretz
Chloë Sevigny
Choi Min-sik
Chow Yun-Fat
Chris Cooper
Chris Elliott
Chris Evans
Chris Funk
Chris Hemsworth
Chris Kendrick
Chris Klein
Chris Messina
Chris Noth
Chris O'Donnell
Chris Offutt
Chris Penn
Chris Pine
Chris Pratt
Chris Rock
Chris Sarandon
Chris Tucker
Chris Vogt
Chris Whitney
Chris Williams
Christian Bale
Christian Beckman
Christian Clavier
Christian Dwiggins
Christian Slater
Christiane Gerboth
Christina Aguilera
Christina Applegate
Christina Cole
Christina Cox
Christina Hendricks
Christina Lindberg
Christina Milian
Christina Piovesan
Christina Ricci
Christina Zenato
Christine Clayburg
Christine Taylor
Christoph Waltz
Christopher Eccleston
Christopher Gordon
Christopher Gorham
Christopher Guest
Christopher Hoag
Christopher Khai
Christopher Knights
Christopher Lambert
Christopher Lloyd
Christopher Markus
Christopher McDonald
Christopher McQuarrie
Christopher Meloni
Christopher Mintz-Plasse
Christopher Nolan
Christopher Plummer
Christopher R. Joyce
Christopher Walken
Christopher Whittingham
Christos V. Konstantakopoulos
Chuck Hosack
Chuck Norris
Chyler Leigh
Ciarán Hinds
Cillian Murphy
Cindy Lucas
Cindy Sampson
Çisem Çanc?
Claire Blackwelder
Claire Bloom
Claire Danes
Claire Forlani
Claire Kaufman
Clarence Nash
Clarence Smith
Clark Gable
Clark Gregg
Claude Paré
Claude Renoir
Claudia Cardinale
Claudia Koll
Claudia Otero
Clémence Poésy
Cliff Curtis
Clint Eastwood
Clive Owen
Clotilde Mollet
Cobie Smulders
Cody Christian
Cody Walker
Cole Hauser
Colin Bohrer
Colin Farrell
Colin Firth
Colin Morgan
Colin O'Donoghue
Colleen Camp
Colm Feore
Columbus Short
Connie Nielsen
Conrad Poe
Constance Bracewell
Cooper Harris
Corey Emanuel Wilson
Corey Haim
Corey Hawkins
Corey Stoll
Corinna Harfouch
Corinne Cléry
Cornel Wilde
Corrado Guzzanti
Costas Dino Chimona
Courteney Cox
Craig Davidson
Craig Ferguson
Craig Haines
Craig Hayes
Craig Roberts
Craig T. Nelson
Crispin Glover
Cristen Coppen
Cristian De Mattheis
Crystal Reed
Crystal the Monkey
Cuba Gooding Jr.
Cüneyt Çal??kur
Curtis C.
Cynthia Nixon
Cynthia Stevenson
Cyril Cusack
D. B. Sweeney
Daisy Ridley
Dakota Fanning
Dakota Goyo
Dakota Johnson
Dale Dickey
Dalia Hernández
Damian Lewis
Damien Chazelle
Damon Wayans Jr.
Dan Aykroyd
Dan Dommer
Dan Duryea
Dan Hannon
Dan Harris
Dan Hedaya
Dan Lake
Dan Leegant
Dan Mintz
Dan Stevens
Dana Carvey
Dana Fox
Dana Hlavá?ová
Dana Ross
Danai Gurira
Dane DeHaan
Daniel Alderson
Daniel Brühl
Daniel Casabe
Daniel Craig
Daniel Dae Kim
Daniel Day-Lewis
Daniel Emmett
Daniel Henney
Daniel Loren May
Daniel Matthews
Daniel McNutt
Daniel Nunez
Daniel Pennac
Daniel Radcliffe
Daniel Stern
Daniele Zannone
Danielle Harris
Danielle Hollowell
Danielle Panabaker
Danielle Rodgers
Danielo Devaux
Danila Kozlovskiy
Danny DeVito
Danny Dyer
Danny Elfman
Danny Glover
Danny Lopes
Danny McBride
Danny Pape
Danny Strong
Danny Trejo
Danny Wilsher
Dany Cooper
Darrell V. Orme Mann
Darren McGavin
Darrin Butts
Daryl Graham
Daryl Hannah
Daryl Makortoff
Dave Bautista
Dave Franco
Dave Jia
Dave Lapommeray
Dave Moorer
Dave Samuel
David Ajala
David Anders
David Arquette
David Ayer
David Bakhtiari
David Belle
David Benioff
David Bennent
David Bowie
David Bradley
David Broekman
David Caruso
David Cross
David Denman
David DiGilio
David Duchovny
David Fincher
David Graf
David Harbour
David Hayman
David Huddleston
David J. Rowe
David Koranda
David Krumholtz
David Lee
David Lynch
David Madingi
David Mazouz
David Meeking
David Mimran
David Morse
David Niven
David O'Hara
David Oyelowo
David Raksin
David Rasche
David Russell
David S. Goyer
David Schwimmer
David Selby
David Spade
David Strathairn
David Thewlis
David Tomlinson
David Wahnon
David Wenham
David Willis
David Wilson
David Yates
Dax Shepard
Dean Eilertson
Dean Erik Andersen
Dean Grimes
Dean Martin
Dean Norris
Debbie Reynolds
Debora Caprioglio
Deborah Ann Woll
Deborah Aquila
Deborah Drakeford
Deborah Kara Unger
Déborah Révy
Debra Messing
Debra Paget
Dee Wallace
DeForest Kelley
Delroy Lindo
Demi Lovato
Demi Moore
Denice Shakarian Halicki
Denis Leary
Denis McGrath
Denise Luiso
Denise Ream
Denise Richards
Denisse Peña
Dennis Breckner
Dennis Farina
Dennis Haysbert
Dennis Quaid
Dennis To Yue-Hong
Denzel Washington
Deon Cole
Derek Eby
Derek Jacobi
Derek Luke
Derek Mears
Dermot Mulroney
DeRon Horton
Dervla Kirwan
Deryl Hayes
Desiree Dizard
Desmond Harrington
Dev Patel
Devin Ratray
Devon Aoki
Devon Bostick
Devrim Evin
Dexter Fletcher
Diana Castle
Diana Lynn
Diana Patterson
Diane Keaton
Diane Kruger
Diane Lane
Diane Nelson
Diane Venora
Dianna Agron
Dick Van Dyke
Dicken Franklin
Diego Klattenhoff
Diego Luna
Diego Macho
Dina Meyer
Diora Baird
Dirk Blocker
Dirk Bogarde
Djimon Hounsou
Dolapo Umar
Dolph Lundgren
Domhnall Gleeson
Dominic Cooper
Dominic Lester
Dominic Monaghan
Dominic Purcell
Dominic West
Dominique Pinon
Dominique Provost-Chalkley
Don Ameche
Don Bell
Don Cheadle
Don Johnson
Don Knotts
Don Rickles
Don Starr
Donal Logue
Donald Gibb
Donald Glover
Donald Halliday
Donald Pleasence
Donald Russell
Donald Sumpter
Donald Sutherland
Donatella Damiani
Donnie Yen
Donovan Le
Doojin Kim
Dougal Walker
Douglas Booth
Dougray Scott
Dove Cameron
Drew Barrymore
Drew Goddard
Drum Garrett
Duncan Lamont
D'Urville Martin
Dustin Clare
Dustin Hoffman
Dwayne Johnson
Dwight McFee
Dwight Yoakam
Dylan McDermott
Dylan Minnette
Dylan O'Brien
Dylan Roberts
E. Smirnov
E.G. Daily
E-40
Eamonn Murphy
Earl Mohan
Ed Asner
Ed Harris
Ed Helms
Ed Skrein
Ed Westwick
Ed Wynn
Eddie Albert
Eddie Marsan
Eddie Murphy
Eddie Redmayne
Edgar G. Ulmer
Edgar Ramírez
Edi Gathegi
Edie Falco
Edmond O'Brien
Edmund Beloin
Eduard Fernández
Eduardo Pena
Eduardo Verástegui
Eduardo Victoria
Edward Furlong
Edward Herrmann
Edward James Olmos
Edward Norton
Edward Said
Edweana Wenkart
Edwige Fenech
Efren Ramirez
Eileen Daly
Ekaterina Klimova
Elden Henson
Eleanor Hafner
Elena Anaya
Elena Kim
Elena Varela
Eli Roth
Eli Snyder
Eli Wallach
Elias Koteas
Elidh MacQueen
Elif Ça?layan
Elijah Ford
Elijah Smith
Elijah Wood
Elisabeth Moss
Elisabeth Röhm
Elisabeth Shue
Elise Laurenne
Elisha Cuthbert
Elissa Knight
Eliza Dushku
Eliza Taylor
Elizabeth Banks
Elizabeth Debicki
Elizabeth Mitchell
Elizabeth Olsen
Elizabeth Patterson
Elizabeth Reaser
Elizabeth Taylor
Elizabeth Whitson
Elke Sommer
Ella Purnell
Ellar Coltrane
Elle Fanning
Elle Macpherson
Ellen Barkin
Ellen Burstyn
Ellen DeGeneres
Ellen Ho
Ellen Junn
Ellen Page
Ellen Pompeo
Elliot Villar
Elliott Gould
Elodie Yung
Elpidia Carrillo
Elsa Pataky
Elya Baskin
Elyas M’Barek
Elyes Gabel
Emerito Trevino
Emilia Clarke
Emilie Dequenne
Emilio Estevez
Emilio Mignucci
